product_id,product_name,quantity,price,unit_cost,reorder_level,category_id,supplier_id,location_id
PRD0001,Sushi Rice,22,450,324,72,CAT001,SUP001,LOC001
PRD0002,Arabica Coffee,45,2000,1440,77,CAT002,SUP002,LOC002
PRD0003,Black Rice,30,600,432,38,CAT001,SUP003,LOC003
PRD0004,Long Grain Rice,12,150,108,59,CAT001,SUP004,LOC004
PRD0005,Plum,37,400,288,30,CAT003,SUP005,LOC005
PRD0006,All-Purpose Flour,55,175,126,33,CAT004,SUP006,LOC001
PRD0007,Corn Oil,96,250,180,52,CAT005,SUP007,LOC002
PRD0008,Egg (Goose),44,250,180,90,CAT006,SUP008,LOC003
PRD0009,Greek Yogurt,91,300,216,84,CAT007,SUP009,LOC004
PRD0010,Egg (Duck),43,100,72,10,CAT006,SUP010,LOC005
PRD0011,Long Grain Rice,62,160,115,81,CAT001,SUP011,LOC001
PRD0012,White Sugar,91,200,144,98,CAT008,SUP012,LOC002
PRD0013,Rye Bread,26,300,216,79,CAT009,SUP013,LOC003
PRD0014,Plum,95,400,288,50,CAT003,SUP014,LOC004
PRD0015,Strawberries,54,600,432,26,CAT003,SUP015,LOC005
PRD0016,Feta Cheese,94,700,504,13,CAT010,SUP016,LOC001
PRD0017,Bread Flour,27,150,108,93,CAT004,SUP017,LOC002
PRD0018,Swiss Cheese,49,800,576,49,CAT010,SUP018,LOC003
PRD0019,Arabica Coffee,55,2000,1440,93,CAT002,SUP019,LOC004
PRD0020,White Sugar,65,200,144,61,CAT008,SUP020,LOC005
PRD0021,Spinach,72,250,180,70,CAT011,SUP021,LOC001
PRD0022,Trout,49,1200,864,73,CAT012,SUP022,LOC002
PRD0023,Green Beans,81,200,144,99,CAT011,SUP023,LOC003
PRD0024,Cabbage,88,100,72,46,CAT011,SUP024,LOC004
PRD0025,Parmesan Cheese,63,1200,864,4,CAT010,SUP025,LOC005
PRD0026,Raw Sugar,31,150,108,43,CAT008,SUP026,LOC001
PRD0027,Egg (Quail),97,80,57,88,CAT006,SUP027,LOC002
PRD0028,Mushrooms,72,600,432,87,CAT011,SUP028,LOC003
PRD0029,Oatmeal Biscuit,16,500,360,9,CAT013,SUP029,LOC004
PRD0030,Pear,77,450,324,20,CAT003,SUP030,LOC005
PRD0031,Cucumber,19,175,126,36,CAT011,SUP031,LOC001
PRD0032,Pineapple,18,350,252,52,CAT003,SUP032,LOC002
PRD0033,Olive Oil,47,600,432,48,CAT005,SUP033,LOC003
PRD0034,Herbal Tea,77,3000,2160,45,CAT014,SUP034,LOC004
PRD0035,Haddock,46,900,648,28,CAT012,SUP035,LOC005
PRD0036,Onion,39,200,144,22,CAT011,SUP036,LOC001
PRD0037,Sushi Rice,75,450,324,69,CAT001,SUP037,LOC002
PRD0038,Pineapple,48,345,248,48,CAT003,SUP038,LOC003
PRD0039,Zucchini,61,250,180,90,CAT011,SUP039,LOC004
PRD0040,Short Grain Rice,60,300,216,90,CAT001,SUP040,LOC005
PRD0041,Mango,24,500,360,55,CAT003,SUP041,LOC001
PRD0042,Lemon,12,230,165,7,CAT003,SUP042,LOC002
PRD0043,Black Coffee,84,1500,1080,13,CAT002,SUP043,LOC003
PRD0044,Butter,51,300,216,100,CAT007,SUP044,LOC004
PRD0045,Multigrain Bread,65,350,252,36,CAT009,SUP045,LOC005
PRD0046,Long Grain Rice,67,150,108,88,CAT001,SUP046,LOC001
PRD0047,Bread Flour,14,150,108,74,CAT004,SUP047,LOC002
PRD0048,Kiwi,45,600,432,24,CAT003,SUP048,LOC003
PRD0049,Mango,92,500,360,46,CAT003,SUP049,LOC004
PRD0050,Sourdough Bread,41,400,288,84,CAT009,SUP050,LOC005
PRD0051,Short Grain Rice,41,450,324,36,CAT001,SUP051,LOC001
PRD0052,Orange,85,300,216,45,CAT003,SUP052,LOC002
PRD0053,Pineapple,44,340,244,80,CAT003,SUP053,LOC003
PRD0054,White Bread,92,250,180,87,CAT009,SUP054,LOC004
PRD0055,Green Coffee,62,1200,864,89,CAT002,SUP055,LOC005
PRD0056,Zucchini,26,250,180,18,CAT011,SUP056,LOC001
PRD0057,Sourdough Bread,59,450,324,78,CAT009,SUP057,LOC002
PRD0058,Orange,88,290,208,37,CAT003,SUP058,LOC003
PRD0059,Sardines,91,600,432,59,CAT012,SUP059,LOC004
PRD0060,Olive Oil,28,600,432,17,CAT005,SUP060,LOC005
PRD0061,Carrot,51,150,108,60,CAT011,SUP061,LOC001
PRD0062,Black Tea,46,500,360,27,CAT014,SUP062,LOC002
PRD0063,Pear,82,445,320,65,CAT003,SUP063,LOC003
PRD0064,Olive Oil,100,600,432,92,CAT005,SUP064,LOC004
PRD0065,Ricotta Cheese,51,600,432,53,CAT010,SUP065,LOC005
PRD0066,Black Coffee,61,1500,1080,43,CAT002,SUP066,LOC001
PRD0067,White Tea,99,2500,1800,87,CAT014,SUP067,LOC002
PRD0068,Cucumber,13,180,129,60,CAT011,SUP068,LOC003
PRD0069,Mozzarella Cheese,45,700,504,63,CAT010,SUP069,LOC004
PRD0070,Broccoli,73,400,288,87,CAT011,SUP070,LOC005
PRD0071,Eggplant,39,300,216,21,CAT006,SUP071,LOC001
PRD0072,Trout,29,1200,864,72,CAT012,SUP072,LOC002
PRD0073,Heavy Cream,12,400,288,60,CAT007,SUP073,LOC003
PRD0074,Bell Pepper,96,445,320,33,CAT011,SUP074,LOC004
PRD0075,Onion,35,200,144,92,CAT011,SUP075,LOC005
PRD0076,Sardines,89,600,432,34,CAT012,SUP076,LOC001
PRD0077,Mango,60,450,324,36,CAT003,SUP077,LOC002
PRD0078,Arborio Rice,20,450,324,34,CAT001,SUP078,LOC003
PRD0079,Potato,28,120,86,40,CAT011,SUP079,LOC004
PRD0080,Corn Oil,20,250,180,55,CAT005,SUP080,LOC005
PRD0081,Butter Biscuit,38,600,432,93,CAT013,SUP081,LOC001
PRD0082,Peas,99,300,216,1,CAT015,SUP082,LOC002
PRD0083,Cream,92,250,180,52,CAT007,SUP083,LOC003
PRD0084,Spinach,41,240,172,29,CAT011,SUP084,LOC004
PRD0085,Sardines,44,600,432,67,CAT012,SUP085,LOC005
PRD0086,White Sugar,47,200,144,7,CAT008,SUP086,LOC001
PRD0087,Bread Flour,21,150,108,63,CAT004,SUP087,LOC002
PRD0088,Cucumber,85,180,129,33,CAT011,SUP088,LOC003
PRD0089,Swiss Cheese,29,800,576,4,CAT010,SUP089,LOC004
PRD0090,Peanut Oil,64,400,288,21,CAT005,SUP090,LOC005
PRD0091,Blueberries,66,1000,720,40,CAT015,SUP091,LOC001
PRD0092,Chocolate Biscuit,75,500,360,81,CAT013,SUP092,LOC002
PRD0093,Cheese,53,900,648,63,CAT010,SUP093,LOC003
PRD0094,Palm Oil,43,180,129,63,CAT005,SUP094,LOC004
PRD0095,Eggplant,74,300,216,30,CAT006,SUP095,LOC005
PRD0096,Garlic,27,700,504,22,CAT015,SUP096,LOC001
PRD0097,Jasmine Rice,91,475,342,73,CAT001,SUP097,LOC002
PRD0098,Rice Flour,52,200,144,81,CAT001,SUP098,LOC003
PRD0099,Zucchini,43,250,180,66,CAT011,SUP099,LOC004
PRD0100,Multigrain Bread,56,320,230,86,CAT009,SUP100,LOC005
PRD0101,Ricotta Cheese,66,600,432,40,CAT010,SUP101,LOC001
PRD0102,Bread Flour,84,150,108,92,CAT004,SUP102,LOC002
PRD0103,Cottage Cheese,37,500,360,5,CAT010,SUP103,LOC003
PRD0104,Whipped Cream,29,400,288,36,CAT007,SUP104,LOC004
PRD0105,Almond Flour,13,950,684,88,CAT004,SUP105,LOC005
PRD0106,Lemon,63,250,180,81,CAT003,SUP106,LOC001
PRD0107,Tilapia,95,700,504,63,CAT016,SUP107,LOC002
PRD0108,Lettuce,58,200,144,5,CAT015,SUP108,LOC003
PRD0109,Peanut Oil,57,400,288,36,CAT005,SUP109,LOC004
PRD0110,Sardines,33,600,432,18,CAT012,SUP110,LOC005
PRD0111,Arabica Coffee,62,2000,1440,89,CAT002,SUP111,LOC001
PRD0112,Coconut,89,500,360,57,CAT015,SUP112,LOC002
PRD0113,Cod,23,800,576,42,CAT016,SUP113,LOC003
PRD0114,Banana,56,9843,7086,12,CAT003,SUP114,LOC004
PRD0115,Black Rice,86,610,439,100,CAT001,SUP115,LOC005
PRD0116,Pomegranate,60,600,432,61,CAT015,SUP116,LOC001
PRD0117,Pineapple,70,350,252,30,CAT003,SUP117,LOC002
PRD0118,Peach,47,400,288,72,CAT015,SUP118,LOC003
PRD0119,Arborio Rice,95,450,324,93,CAT001,SUP119,LOC004
PRD0120,Plum,20,385,277,42,CAT003,SUP120,LOC005
PRD0121,Sushi Rice,19,430,309,17,CAT001,SUP121,LOC001
PRD0122,Arabica Coffee,74,2100,1512,72,CAT002,SUP122,LOC002
PRD0123,Pear,61,450,324,50,CAT003,SUP123,LOC003
PRD0124,Sourdough Bread,34,400,288,42,CAT009,SUP124,LOC004
PRD0125,Pear,29,450,324,20,CAT003,SUP125,LOC005
PRD0126,Heavy Cream,14,420,302,99,CAT007,SUP126,LOC001
PRD0127,White Rice,20,180,129,20,CAT001,SUP127,LOC002
PRD0128,Cauliflower,40,320,230,38,CAT017,SUP128,LOC003
PRD0129,Canola Oil,91,230,165,82,CAT005,SUP129,LOC004
PRD0130,Avocado Oil,99,1000,720,96,CAT005,SUP130,LOC005
PRD0131,Bread Flour,34,150,108,46,CAT004,SUP131,LOC001
PRD0132,Gouda Cheese,100,700,504,21,CAT010,SUP132,LOC002
PRD0133,Black Rice,79,600,432,98,CAT001,SUP133,LOC003
PRD0134,Greek Yogurt,62,300,216,2,CAT007,SUP134,LOC004
PRD0135,Tuna,25,1800,1296,44,CAT012,SUP135,LOC005
PRD0136,Buttermilk,47,250,180,2,CAT007,SUP136,LOC001
PRD0137,Orange,15,300,216,44,CAT003,SUP137,LOC002
PRD0138,Pomegranate,19,600,432,65,CAT015,SUP138,LOC003
PRD0139,Tuna,58,1800,1296,77,CAT012,SUP139,LOC004
PRD0140,Sour Cream,11,400,288,30,CAT007,SUP140,LOC005
PRD0141,Rice Flour,99,200,144,44,CAT001,SUP141,LOC001
PRD0142,Long Grain Rice,26,150,108,82,CAT001,SUP142,LOC002
PRD0143,Bell Pepper,70,450,324,31,CAT011,SUP143,LOC003
